"","car_park_no","address","car_park_type","type_of_parking_system","short_term_parking","free_parking","night_parking","car_park_decks","gantry_height","car_park_basement","longtitude","latitude"
"1131","PL23","BLK 201 PUNGGOL FIELD","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",8,2.15,"N",103.903688630105,1.39976689659986
"1132","PL24","BLK 178 & 193 EDGEFIELD PLAINS","BASEMENT CAR PARK","ELECTRONIC PARKING","7AM-7PM","NO","NO",2,2.15,"Y",103.908336043303,1.3995519599597
"1133","PL25","BLK 172 EDGEDALE PLAINS","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",8,2.15,"N",103.91177770471,1.39551982553955
"1134","PL26","BLK 650 PUNGGOL CENTRAL","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",4,2.15,"N",103.915303231433,1.397283842157
"1135","PL27","BLK 204 PUNGGOL FIELD","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",8,2.15,"N",103.903072855177,1.39846314053228
"1136","PL28","BLK 194 PUNGGOL ROAD","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",10,2.15,"N",103.906516042332,1.40200920367078
"1137","PL29","BLK 633 PUNGGOL DRIVE","BASEMENT CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO",1,2.15,"Y",103.913265967365,1.40053884701366
"1138","PL30","BLK 170D PUNGGOL EAST","BASEMENT CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO",1,2.15,"Y",103.914093841679,1.39435394473751
"1139","PL31","BLK 301 PUNGGOL CENTRAL","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",8,2.15,"N",103.90619802299,1.40367858329092
"1140","PL32","BLK 302 PUNGGOL PLACE","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",10,2.15,"N",103.904606666241,1.40484725001725
"1141","PL33","BLK 621A - 621B EDGEFIELD WALK","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO",0,4.5,"N",103.909890665759,1.40125538700892
"1142","PL34","BLK 603 PUNGGOL ROAD","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",10,2.15,"N",103.907982473241,1.40386228061003
"1143","PL35","BLK 602 PUNGGOL CENTRAL","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",10,2.15,"N",103.907293506746,1.40311932932596
"1144","PL36","BLK 305 PUNGGOL ROAD","COVERED CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",1,2.15,"N",103.906223056365,1.40601975747576
"1145","PL37","BLK 614 EDGEFIELD PLAINS","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",13,2.15,"N",103.909657140047,1.4032349137544
"1146","PL38","BLK 612 PUNGGOL DRIVE","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",12,2.15,"N",103.908633937631,1.40459923061911
"1147","PL39","BLK 267 PUNGGOL FIELD","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",3,2.15,"N",103.897952803457,1.4040002035818
"1148","PL40","BLK 270 PUNGGOL FIELD","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO",2,2.15,"N",103.899150331378,1.40372106351862
"1149","PL41","BLK 273 PUNGGOL PLACE","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",2,2.15,"N",103.901942680435,1.40265108832267
"1150","PL42","BLK 616 PUNGGOL DRIVE","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO",2,2.15,"N",103.911697256631,1.40212642399457
"1151","PL43","BLK 288 PUNGGOL PLACE","COVERED CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",1,2.15,"N",103.903095832737,1.40171439855035
"1152","PL44","BLK 206A PUNGGOL PLACE","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO",0,3.8,"N",103.901328753224,1.39885655665264
"1153","PL45","BLK 169 PUNGGOL FIELD","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO",2,2.15,"N",103.914500237714,1.3936293802077
"1154","PL46","BLK 624 PUNGGOL CENTRAL","COVERED CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO",1,2.15,"N",103.911629841452,1.40025943174779
"1155","PL47","BLK 207 PUNGGOL PLACE","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO",7,2.15,"N",103.900916328431,1.40062697761417
"1156","PL48","BLK 271 PUNGGOL WALK","COVERED CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO",1,2.15,"N",103.900383766482,1.4030051179068
"1157","PL49","BLK 210 PUNGGOL PLACE","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO",11,2.15,"N",103.900382294743,1.39934386050485
"1158","PL50","BLK 211 PUNGGOL WALK","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO",6,2.15,"N",103.899438217567,1.40141928943889
"1159","PL51","BLK 213 PUNGGOL WALK","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",11,2.15,"N",103.898649199174,1.40002789607651
"1160","PL52","BLK 312 SUMANG LINK","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",13,2.15,"N",103.901469407207,1.41021375675538
"1161","PL53","BLK 266 PUNGGOL WAY","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",2,2.15,"N",103.898175261823,1.40529864532924
"1162","PL54","BLK 259 PUNGGOL FIELD","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",14,2.15,"N",103.895344321078,1.40450622624479
"1163","PL55","BLK 261 PUNGGOL WAY","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",11,2.15,"N",103.896841568666,1.40540480563453
"1164","PL56","BLK 672 EDGEFIELD PLAINS","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",16,2.15,"N",103.911729861973,1.40706997946263
"1165","PL57","BLK 665 PUNGGOL DRIVE","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",2,2.15,"N",103.91468720452,1.40192086453342
"1166","PL58","663  PUNGGOL DRIVE","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",13,2.15,"N",103.916790732651,1.39991483946419
"1167","PL59","BLK 308 PUNGGOL WALK","BASEMENT CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",1,2.15,"Y",103.898760672691,1.40810932165348
"1168","PL60","BLK 670 EDGEFIELD PLAINS","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",14,2.15,"N",103.913258103514,1.40582299864476
"1169","PL61","BLK 678 PUNGGOL DRIVE","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",2,2.15,"N",103.908889866747,1.40611490251332
"1170","PL62","BLK 256 SUMANG WALK","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",12,2.15,"N",103.895528431952,1.40553392641685
"1171","PL63","BLK 677 PUNGGOL DRIVE","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",2,2.15,"N",103.909579655618,1.40573987308182
"1172","PL64","BLK 676 PUNGGOL DRIVE","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",3,2.15,"N",103.910214174562,1.40529284169846
"1173","PL65","BLK 310 PUNGGOL WALK","BASEMENT CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",0,2.15,"Y",103.899722789586,1.40976244792463
"1174","PL66","BLK 121 EDGEDALE PLAINS","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",11,2.15,"N",103.908369531019,1.39358329221585
"1175","PL67","BLK 314 PUNGGOL WAY","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",2,2.15,"N",103.89751341808,1.40847387016727
"1176","PL68","BLK 217 SUMANG WALK","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",16,2.15,"N",103.89563899985,1.40284977714674
"1177","PL69","BLK 661 EDGEDALE PLAINS","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",13,2.15,"N",103.917614585792,1.40253475955329
"1178","PL70","BLK 226 SUMANG LANE","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",2,2.15,"N",103.893240517707,1.40300077392681
"1179","PL71","BLK 682 EDGEDALE PLAINS EDGEDALE PLAINS","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",16,2.15,"N",103.915771536424,1.40400282394944
"1180","PL72","BLK 222 SUMANG LANE SUMANG LANE","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",13,2.15,"N",103.894278756239,1.40110094234666
"1181","PL73","BLK 228 PUNGGOL FIELD","MULTI-STOREY CAR PARK","COUPON PARKING","WHOLE DAY","NO","YES",2,2.15,"N",103.892024406095,1.4032946064345
"1182","PL74","BLK 233 SUMANG LANE","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",7,2.15,"N",103.891602982593,1.40126026475489
"1183","PL75","BLK 325 SUMANG WALK","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",15,2.15,"N",103.898751428957,1.41344990691153
"1184","PL76","BLK 326 SUMANG WALK SUMANG WALK","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",6,2.15,"N",103.899328254236,1.41330079624343
"1185","PL77","BLK 659 PUNGGOL EAST ROAD","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",14,2.15,"N",103.919552044758,1.4010123109755
"1186","PL78","BLK 322 SUMANG WALK","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",13,2.15,"N",103.897504916283,1.41122004586167
"1187","PL79","BLK 655 PUNGGOL EAST","BASEMENT CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",1,2.15,"Y",103.921263291899,1.39908657150317
"1188","PL80","BLK 407A-407B NORTHSHORE WALK","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",2,2.15,"N",103.902107754044,1.41678565911812
"1189","PL81","BLK 421A NORTHSHORE DRIVE","BASEMENT CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",4,2.15,"Y",103.90448268138,1.4197922102832
"1190","PL82","BLK 413A NORTHSHORE DRIVE","BASEMENT CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",2,2.15,"Y",103.900271608123,1.41697216762143
"1191","PL83","BLK 419A NORTHSHORE DRIVE","BASEMENT CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",2,2.15,"Y",103.902113467873,1.41851158378264
"1192","PL84","BLK 653 PUNGGOL DRIVE","BASEMENT CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",1,2.15,"Y",103.920441730894,1.39782460625577
"1193","PL85","BLK 402 NORTHSHORE DRIVE","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",13,2.15,"N",103.900348729618,1.41444466345499
"1194","PL86","BLK 411 NORTHSHORE DRIVE","MULTI-STOREY CAR PARK","COUPON PARKING","WHOLE DAY","NO","YES",1,2.15,"N",103.905850338907,1.4179543758353
"1195","PL87","BLK 423C NORTHSHORE CRESCENT","BASEMENT CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",1,3,"Y",103.906189667358,1.41939396659161
"1196","PL88","BLK 433 NORTHSHORE DRIVE","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",2,2.15,"N",103.91038472454,1.41749211517664
"1197","PM1","BLK 473A PASIR RIS DRIVE 6","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",12,2.15,"N",103.956604424875,1.37428285240561
"1198","PM10","BLK 204A PASIR RIS STREET 21","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO",10,1.9,"N",103.962473964563,1.36674642147396
"1199","PM11","BLK 269A PASIR RIS STREET 21","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",8,1.9,"N",103.963457018403,1.3647932754079
"1200","PM12","BLK 272A PASIR RIS STREET 21","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",6,1.9,"N",103.965028903314,1.36490549297883
"1201","PM13","BLK 199A PASIR RIS STREET 12","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",12,1.9,"N",103.959597741674,1.36647355477754
"1202","PM14","BLK 180A PASIR RIS STREET 11","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",12,1.9,"N",103.960105397907,1.36470843282672
"1203","PM15","BLK 158A PASIR RIS STREET 13","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",10,2,"N",103.961677110328,1.36416013372387
"1204","PM16","BLK 149A PASIR RIS STREET 13","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",10,2,"N",103.962720606886,1.36235873304778
"1205","PM17","BLK 142A PASIR RIS STREET 11","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",10,2,"N",103.959758333375,1.36283889143481
"1206","PM18","BLK 135A PASIR RIS STREET 11","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",8,2,"N",103.95687982769,1.36475655010154
"1207","PM19","BLK 108A PASIR RIS STREET 12","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",12,2,"N",103.957022738524,1.36795677755504
"1208","PM2","BLK 220A PASIR RIS STREET 21","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",10,1.9,"N",103.96101285046,1.37007306561966
"1209","PM20","BLK 526 PASIR RIS STREET 51","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",13,2.15,"N",103.947456031696,1.36804163341359
"1210","PM21","BLK 530 PASIR RIS DRIVE 1","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","NO","NO","YES",15,2.15,"N",103.949415425402,1.37119698231594
"1211","PM22","BLK 555A PASIR RIS STREET 51","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",10,2,"N",103.952213742155,1.3685624312365
"1212","PM23","BLK 564A PASIR RIS STREET 51","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",11,2,"N",103.949503747712,1.36868175530225
"1213","PM24","BLK 561A PASIR RIS STREET 51","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",8,2,"N",103.951315318991,1.36718517991143
"1214","PM25","BLK 500A PASIR RIS STREET 52","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",13,1.9,"N",103.945608889804,1.37639013120977
"1215","PM26","BLK 521A PASIR RIS STREET 52","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",11,1.9,"N",103.943992740232,1.37386757289494
"1216","PM27","BLK 578A PASIR RIS STREET 53","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",11,2,"N",103.946595969692,1.3739601888978
"1217","PM28","BLK 586A PASIR RIS STREET 53","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",10,2,"N",103.947766006104,1.37470010927147
"1218","PM29","BLK 601A ELIAS ROAD","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",10,1.9,"N",103.943373732934,1.3773336408343
"1219","PM3","BLK 225A PASIR RIS STREET 21","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",13,1.9,"N",103.960933001682,1.37180034981675
"1220","PM30","BLK 614A ELIAS ROAD","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO",10,1.9,"N",103.942177186883,1.37574538399535
"1221","PM32","BLK 631A PASIR RIS DRIVE 3","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",11,2,"N",103.940098724302,1.37930677359829
"1222","PM33","BLK 635A PASIR RIS DRIVE 1","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",11,2,"N",103.939876700485,1.37708092374818
"1223","PM34","BLK 649A PASIR RIS DRIVE 10","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",11,2,"N",103.938711970244,1.37800060508488
"1224","PM35","BLK 700A PASIR RIS DRIVE 10","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",10,1.9,"N",103.938641390536,1.38076951171709
"1225","PM36","BLK 710A PASIR RIS STREET 72","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",10,2,"N",103.937070549787,1.38241655864519
"1226","PM37","BLK 718A PASIR RIS STREET 72","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",10,2,"N",103.936019520132,1.38192478774439
"1227","PM38","BLK 736A PASIR RIS DRIVE 10","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",10,2,"N",103.937242541609,1.37894758122381
"1228","PM4","BLK 231A PASIR RIS DRIVE 4","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",10,1.9,"N",103.961442713584,1.37410591914786
"1229","PM40","BLK 744A PASIR RIS STREET 71","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO",11,2,"N",103.93538366563,1.37794761326017
"1230","PM41","BLK 747A PASIR RIS STREET 71","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",9,2,"N",103.93408744825,1.37883741166847
"1231","PM43","BLK 757A PASIR RIS STREET 71","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",9,2,"N",103.933136254465,1.37723637885708
"1232","PM44","BLK 762A PASIR RIS STREET 71","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",9,2,"N",103.93329952864,1.37596561826745
"1233","PM45","BLK 773A PASIR RIS STREET 71","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",10,2,"N",103.935904893912,1.37460195488744
"1234","PM46","BLK 782A PASIR RIS STREET 71","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO",8,2,"N",103.938386988728,1.37322458688351
"1235","PM5","BLK 235A PASIR RIS STREET 21","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",10,1.9,"N",103.962608012823,1.3737703530714
"1236","PM6","BLK 245A PASIR RIS STREET 21","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",10,1.9,"N",103.963412434381,1.37082002822523
"1237","PM7","BLK 257A PASIR RIS STREET 21","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",8,1.9,"N",103.963249921591,1.36755763817199
"1238","PM8","BLK 458A PASIR RIS DRIVE 4","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",10,2,"N",103.960255942047,1.37163599021466
"1239","PM9","BLK 216A PASIR RIS STREET 21","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",9,2,"N",103.961216061629,1.3682919670591
"1240","PP1","BLK 101 TO 109 POTONG PASIR AVENUE 1","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.869213959655,1.33400490206808
"1241","PP2","BLK 143 TO 145 POTONG PASIR AVENUE 2/3","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.866054514109,1.33268014476888
"1242","PP3","BLK 134 TO 142 POTONG PASIR AVENUE 3","SURFACE CAR PARK","ELECTRONIC PARKING","NO","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.86584452814,1.33360198339816
"1243","PP4","BLK 121 TO 133 POTONG PASIR AVENUE 1","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.866119237347,1.33473291183773
"1244","PP5","BLK 113 TO 120 POTONG PASIR AVENUE 1","SURFACE CAR PARK","ELECTRONIC PARKING","NO","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.86322285845,1.33631310151853
"1245","PP6","BLK 146 POTONG PASIR AVENUE 2","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.867614650814,1.33228373597578
"1246","PP9T","BLK 145 POTONG PASIR AVENUE 2/3","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.86606008684,1.33219467825719
"1247","PRM","BLK 33 PARK CRESCENT MSCP","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",7,2.15,"N",103.842270008062,1.28545036782062
"1248","PRM1","BLK 441A PASIR RIS DRIVE 6","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",9,1.86,"N",103.957835189551,1.3696196338882
"1249","PRS1","BLK 212A PASIR RIS STREET 21","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO",0,0,"N",103.960326337703,1.36801715637777
"1250","PR1","BLK 101/108 PASIR RIS STREET 12","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.957999802334,1.36733183955971
"1251","PR10","BLK 467/477 PASIR RIS DRIVE 6","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.957182834179,1.37373895609407
"1252","PR11","BLK 478/487 PASIR RIS DRIVE 4","SURFACE CAR PARK","COUPON PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO",0,4.5,"N",103.959390305297,1.37445761966103
"1253","PR12","BLK 544/556 PASIR RIS STREET 51","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",0,4.5,"N",103.952682971027,1.36871369042144
"1254","PR13","BLK 537-543, 564-569 PASIR RIS STREET 51","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",0,4.5,"N",103.94961882877,1.36947638581769
"1255","PR14","BLK 557-562 PASIR RIS STREET 51","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",0,9.99,"N",103.951492698768,1.36668608880898
"1256","PR2","BLK 109/129 PASIR RIS STREET 11","SURFACE CAR PARK","ELECTRONIC PARKING","NO","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.955442789511,1.36727480254758
"1257","PR3","BLK 531/536 PASIR RIS DRIVE 1/PASIR RIS CENTRAL","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",0,4.5,"N",103.950715630263,1.37106342287556
"1258","PR4","BLK 406/411 PASIR RIS DRIVE 6","SURFACE CAR PARK","ELECTRONIC PARKING","NO","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.954520488734,1.37293464607517
"1259","PR5","BLK 405/406, 412/429 PASIR RIS DRIVE 6","SURFACE CAR PARK","ELECTRONIC PARKING","NO","SUN & PH FR 7AM-10.30PM","YES",0,4.5,"N",103.955117050351,1.37050826419334
"1260","PR6","BLK 441/445 PASIR RIS DRIVE 6","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.957594005062,1.36937905902051
"1261","PR7","BLK 446/455 PASIR RIS DRIVE 6","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO",0,0,"N",103.957685082627,1.37100941211207
"1262","PR8","BLK 456/461 PASIR RIS DRIVE 4","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",0,9.99,"N",103.959574417604,1.37126784079512
"1263","PR9","BLK 463/466 PASIR RIS STREET 41","SURFACE CAR PARK","COUPON PARKING","7AM-10.30PM","NO","NO",0,0,"N",103.95845575439,1.37320530125913
